Account,Codename,URL,Total Interactions,Likes,Comments,Views,All Interaction Rate,Albums,Photos,Video,IGTV,Total Posts,Album Posts,Photo Posts,Video Posts,IGTV Posts,Posts Per Day,Album Likes,Photo Likes,Video Likes,IGTV Likes,Album Comments,Photo Comments,Video Comments,IGTV Comments,Album Video Views,Video Video Views,IGTV Video Views,Followers,Follower Growth,Follower Growth %
therock,therock,https://www.instagram.com/therock/,"22,367,175","22,240,929","126,246","95,612,961",0.49%,0.25%,1.31%,0.51%,0.14%,20,1,2,12,5,2.86,"566,133","6,010,748","14,022,243","1,641,805","2,114","25,420","88,578","10,134","4,173,845","79,376,330","12,062,786","230,466,250","1,062,686",0.46%
Sommer Ray,sommerray,https://www.instagram.com/sommerray/,"4,423,628","4,406,022","17,606",0,3.37%,3.37%,--,--,--,5,5,0,0,0,0.71,"4,406,022",0,0,0,"17,606",0,0,0,0,0,0,"26,263,765","67,971",0.26%
Arnold Schwarzenegger,schwarzenegger,https://www.instagram.com/schwarzenegger/,"1,615,583","1,605,346","10,237","2,264,681",1.49%,2.74%,--,0.66%,--,5,2,0,3,0,0.71,"1,180,269",0,"425,077",0,"5,091",0,"5,146",0,0,"2,264,681",0,"21,653,443","16,432",0.08%
Hannah Stocking,hannahstocking,https://www.instagram.com/hannahstocking/,"261,007","259,381","1,626","1,247,557",1.39%,--,--,1.39%,--,1,0,0,1,0,0.14,0,0,"259,381",0,0,0,"1,626",0,0,"1,247,557",0,"18,779,189","-18,267",-0.1%
KAYLA ITSINES,kayla_itsines,https://www.instagram.com/kayla_itsines/,"507,005","502,941","4,064","5,162,459",0.3%,0.43%,0.66%,0.1%,0.13%,13,1,4,6,2,1.86,"54,045","338,028","78,119","32,749",686,"1,974",758,646,"2,192,371","1,882,747","1,087,341","12,853,758","16,443",0.13%
ANLLELA SAGRA 🇨🇴,anllela_sagra,https://www.instagram.com/anllela_sagra/,"32,971","32,609",362,"185,745",0.26%,--,--,0.26%,--,1,0,0,1,0,0.14,0,0,"32,609",0,0,0,362,0,0,"185,745",0,"12,646,549","16,557",0.13%
AnaCherí,anacheri,https://www.instagram.com/anacheri/,"100,013","99,280",733,0,0.79%,--,0.79%,--,--,1,0,1,0,0,0.14,0,"99,280",0,0,0,733,0,0,0,0,0,"12,588,259","-7,857",-0.06%
Jen Selter,jenselter,https://www.instagram.com/jenselter/,"208,113","205,979","2,134","716,092",0.33%,--,0.52%,0.29%,--,5,0,1,4,0,0.71,0,"63,641","142,338",0,0,873,"1,261",0,0,"716,092",0,"12,463,911","-11,273",-0.09%
Tammy 🐚,tammyhembrow,https://www.instagram.com/tammyhembrow/,"1,738,345","1,732,713","5,632","914,043",1.79%,1.79%,--,--,--,8,8,0,0,0,1.14,"1,732,713",0,0,0,"5,632",0,0,0,"914,043",0,0,"12,138,487","17,113",0.14%
Amanda Lee,amandaeliselee,https://www.instagram.com/amandaeliselee/,"97,007","96,393",614,0,0.84%,0.84%,--,--,--,1,1,0,0,0,0.14,"96,393",0,0,0,614,0,0,0,0,0,0,"11,611,868","-7,995",-0.07%
Nastya Nass,nastya_nass_,https://www.instagram.com/nastya_nass_/,"1,610,347","1,605,858","4,489",0,6.44%,7.16%,5%,--,--,3,2,1,0,0,0.43,"1,190,092","415,766",0,0,"3,186","1,303",0,0,0,0,0,"8,327,024","-17,674",-0.21%
SIMEONPANDA.COM,simeonpanda,https://www.instagram.com/simeonpanda/,"332,591","330,309","2,282","796,986",0.72%,0.9%,0.68%,0.7%,--,6,1,4,1,0,0.86,"68,823","208,944","52,542",0,357,852,"1,073",0,"509,478","287,508",0,"7,695,364","13,528",0.18%
Sascha Barboza,saschafitness,https://www.instagram.com/saschafitness/,"171,943","171,216",727,0,3.91%,--,3.91%,--,--,1,0,1,0,0,0.14,0,"171,216",0,0,0,727,0,0,0,0,0,"4,394,713","4,154",0.09%
Ronnie Coleman,ronniecoleman8,https://www.instagram.com/ronniecoleman8/,"257,731","254,861","2,870","1,320,488",1.61%,--,0.56%,1.47%,2.95%,4,0,1,2,1,0.57,0,"22,072","116,497","116,292",0,154,"1,126","1,590",0,"691,205","629,283","4,001,918","13,486",0.34%
Bradley Martyn,bradleymartyn,https://www.instagram.com/bradleymartyn/,0,0,0,0,--,--,--,--,--,No posts in this timeframe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,787,525","2,186",0.06%
Phil Heath,philheath,https://www.instagram.com/philheath/,"25,710","25,440",270,"140,732",0.72%,--,--,--,0.72%,1,0,0,0,1,0.14,0,0,0,"25,440",0,0,0,270,0,0,"140,732","3,576,938","-1,666",-0.05%
Shawn Rhoden,flexatronrhoden,https://www.instagram.com/flexatronrhoden/,"118,934","118,058",876,"87,550",0.88%,0.65%,1.2%,0.35%,--,7,1,4,2,0,1,"12,502","92,254","13,302",0,103,598,175,0,0,"87,550",0,"1,926,919",-96,-0%
Misty Copeland,mistyonpointe,https://www.instagram.com/mistyonpointe/,"158,851","157,390","1,461","203,194",1.4%,3.19%,0.42%,0.59%,--,6,2,2,2,0,0.86,"119,438","15,967","21,985",0,"1,164",48,249,0,"77,867","125,327",0,"1,890,933",-34,-0%
"Dexter ""The Blade"" Jackson",mrolympia08,https://www.instagram.com/mrolympia08/,"78,430","75,759","2,671",0,2.4%,3.49%,1.32%,--,--,2,1,1,0,0,0.29,"54,441","21,318",0,0,"2,527",144,0,0,0,0,0,"1,631,306","-1,743",-0.11%
Mari Llewellyn,marillewellyn,https://www.instagram.com/marillewellyn/,"58,693","58,411",282,"74,456",3.88%,3.88%,--,--,--,1,1,0,0,0,0.14,"58,411",0,0,0,282,0,0,0,"74,456",0,0,"1,515,426","5,822",0.39%
K I M  F R E N C H 🇬🇧 NASM CPT,kimfrench87,https://www.instagram.com/kimfrench87/,"84,861","83,511","1,350","1,248,268",1.26%,1.23%,1.39%,--,--,5,4,1,0,0,0.71,"64,996","18,515",0,0,"1,098",252,0,0,"1,248,268",0,0,"1,346,996","2,572",0.19%
Michael Griffiths,mac_griffiths_,https://www.instagram.com/mac_griffiths_/,"49,141","48,693",448,"87,458",0.69%,0.9%,--,0.39%,0.17%,6,4,0,1,1,0.86,"42,193",0,"4,535","1,965",330,0,75,43,"10,192","46,399","30,867","1,182,158","-2,254",-0.19%
𝗦𝗜𝗔 | FITNESS + SELF LOVE,diaryofafitmommyofficial,https://www.instagram.com/diaryofafitmommyofficial/,"51,309","50,551",758,"239,521",0.33%,0.35%,0.35%,0.14%,--,13,5,7,1,0,1.86,"20,350","28,620","1,581",0,223,494,41,0,"192,140","47,381",0,"1,179,574","-1,188",-0.1%
Brandon Curry,brandon__curry,https://www.instagram.com/brandon__curry/,"68,992","68,544",448,"96,824",0.43%,0.5%,0.56%,0.18%,0.45%,14,2,7,4,1,2,"11,255","44,292","7,898","5,099",42,326,61,19,0,"59,070","37,754","1,136,280",409,0.04%
Melissa Alcantara,fitgurlmel,https://www.instagram.com/fitgurlmel/,"14,040","13,807",233,"132,253",0.63%,--,--,0.63%,--,2,0,0,2,0,0.29,0,0,"13,807",0,0,0,233,0,0,"132,253",0,"1,116,601",641,0.06%
Kaisa Keranen,kaisafit,https://www.instagram.com/kaisafit/,"55,110","54,416",694,"781,050",1.81%,2.21%,--,1%,--,3,2,0,1,0,0.43,"44,414",0,"10,002",0,548,0,146,0,"666,522","114,528",0,"1,014,875","-1,273",-0.13%
CHONTEL DUNCAN,chontelduncan,https://www.instagram.com/chontelduncan/,"18,835","18,342",493,"194,274",0.31%,--,0.31%,0.31%,--,6,0,3,3,0,0.86,0,"9,169","9,173",0,0,197,296,0,0,"194,274",0,"1,002,980",335,0.03%
Katie Crewe,katiecrewe,https://www.instagram.com/katiecrewe/,"36,013","35,641",372,"910,572",1.86%,1.86%,--,--,--,2,2,0,0,0,0.29,"35,641",0,0,0,372,0,0,0,"910,572",0,0,"967,927",-465,-0.05%
James Smith,jamessmithpt,https://www.instagram.com/jamessmithpt/,"72,558","70,281","2,277","636,916",1.29%,--,1.33%,0.51%,1.5%,7,0,3,1,3,1,0,"31,653","3,983","34,645",0,521,110,"1,646",0,"135,721","501,195","806,897","2,375",0.3%
Jordan Syatt,syattfitness,https://www.instagram.com/syattfitness/,"62,792","61,988",804,0,4.07%,--,4.07%,--,--,2,0,2,0,0,0.29,0,"61,988",0,0,0,804,0,0,0,0,0,"772,898","1,258",0.16%
Ross Edgley,rossedgley,https://www.instagram.com/rossedgley/,"63,075","62,767",308,0,2.24%,2.18%,2.4%,--,--,4,3,1,0,0,0.57,"45,962","16,805",0,0,190,118,0,0,0,0,0,"705,189",-302,-0.04%
"Layne Norton, PhD",biolayne,https://www.instagram.com/biolayne/,"53,762","52,069","1,693","36,807",1.65%,1.88%,1.79%,--,0.53%,7,3,3,0,1,1,"25,298","24,417",0,"2,354","1,021",538,0,134,0,0,"36,807","466,081",811,0.17%
"lucy, chief nob",lucymountain,https://www.instagram.com/lucymountain/,"14,298","14,232",66,"3,316",1.55%,1.55%,--,--,--,2,2,0,0,0,0.29,"14,232",0,0,0,66,0,0,0,"3,316",0,0,"459,368","-1,996",-0.43%
Carter • Weight Loss Coach,cartergood,https://www.instagram.com/cartergood/,"13,305","13,074",231,0,0.59%,0.52%,0.71%,--,--,5,3,2,0,0,0.71,"6,830","6,244",0,0,143,88,0,0,0,0,0,"447,803",116,0.03%
Shona Vertue,shona_vertue,https://www.instagram.com/shona_vertue/,"9,261","9,167",94,"100,418",1.05%,1.05%,--,--,--,2,2,0,0,0,0.29,"9,167",0,0,0,94,0,0,0,"100,418",0,0,"442,289",-290,-0.07%
Kelsey Heenan,thedailykelsey,https://www.instagram.com/thedailykelsey/,"17,970","17,710",260,"97,867",1.03%,--,1.29%,--,0.78%,4,0,2,0,2,0.57,0,"11,102",0,"6,608",0,116,0,144,0,0,"97,867","434,682",-37,-0.01%
bradleysimmonds,bradleysimmonds,https://www.instagram.com/bradleysimmonds/,"6,280","6,221",59,0,1.51%,--,1.51%,--,--,1,0,1,0,0,0.14,0,"6,221",0,0,0,59,0,0,0,0,0,"416,701",-221,-0.05%
Stephanie Joshi,nuttyfoodiefitness,https://www.instagram.com/nuttyfoodiefitness/,"53,540","53,174",366,0,3.53%,3.97%,3.24%,--,--,5,2,3,0,0,0.71,"23,921","29,253",0,0,146,220,0,0,0,0,0,"303,527",542,0.18%
Emily Ricketts 💪🏻,emrickettz,https://www.instagram.com/emrickettz/,"11,937","11,483",454,"90,951",0.73%,1.03%,0.65%,0.36%,--,7,3,2,2,0,1,"6,885","2,979","1,619",0,355,54,45,0,"75,206","15,745",0,"234,116",-87,-0.04%
CAT MEFFAN | MOVEMENT,catmeffan,https://www.instagram.com/catmeffan/,"18,173","17,979",194,"50,888",2.12%,3.35%,0.89%,--,--,4,2,2,0,0,0.57,"14,189","3,790",0,0,161,33,0,0,"50,888",0,0,"214,190",509,0.24%
Diren Kartal,diren.kartal,https://www.instagram.com/diren.kartal/,"28,934","28,406",528,"125,821",2.26%,1.25%,7.16%,0.96%,1.63%,6,1,1,2,2,0.86,"2,623","15,107","4,003","6,673",44,126,75,283,0,"45,115","80,706","213,512",857,0.4%
Ben Carpenter,bdccarpenter,https://www.instagram.com/bdccarpenter/,"3,866","3,701",165,"37,408",2.54%,--,--,--,2.54%,1,0,0,0,1,0.14,0,0,0,"3,701",0,0,0,165,0,0,"37,408","152,385",283,0.19%
"Eric Helms PhD, 3DMJ R&D Chief",helms3dmj,https://www.instagram.com/helms3dmj/,"3,864","3,804",60,0,0.53%,1.24%,0.36%,--,--,5,1,4,0,0,0.71,"1,768","2,036",0,0,24,36,0,0,0,0,0,"145,063",717,0.5%
Tally Rye,tallyrye,https://www.instagram.com/tallyrye/,"4,422","4,316",106,0,3.88%,3.88%,--,--,--,1,1,0,0,0,0.14,"4,316",0,0,0,106,0,0,0,0,0,0,"114,200",416,0.37%
Faisal Abdalla (Mr PMA),faisalpmafitness,https://www.instagram.com/faisalpmafitness/,"5,631","5,351",280,"4,542",0.91%,1.22%,0.74%,0.45%,--,7,3,3,1,0,1,"3,087","1,874",390,0,165,108,7,0,0,"4,542",0,"88,641",24,0.03%
Kim Schlag Online Coach,kimschlagfitness,https://www.instagram.com/kimschlagfitness/,"1,098","1,060",38,0,0.35%,0.41%,0.32%,--,--,4,1,3,0,0,0.57,322,738,0,0,6,32,0,0,0,0,0,"78,986",-109,-0.14%
SOPHIE BRACE,sophiebrace_fit,https://www.instagram.com/sophiebrace_fit/,"5,181","5,110",71,"12,985",2.86%,2.56%,2.95%,--,--,4,1,3,0,0,0.57,"1,148","3,962",0,0,15,56,0,0,"12,985",0,0,"45,331",-51,-0.11%
Jenny Francis,jennyfrancis23,https://www.instagram.com/jennyfrancis23/,281,256,25,"3,108",0.97%,--,--,--,0.97%,1,0,0,0,1,0.14,0,0,0,256,0,0,0,25,0,0,"3,108","29,084",1,0%
𝙉𝙞𝙠𝙤 𝘼𝙡𝙜𝙞𝙚𝙧𝙞 - Fitness / TRX,nikoalgieri,https://www.instagram.com/nikoalgieri/,"2,632","2,524",108,"20,158",2.25%,2.6%,2.77%,1.65%,--,5,2,1,2,0,0.71,"1,163",609,752,0,52,36,20,0,"13,526","6,632",0,"23,364",73,0.31%
Jessie Diaz-Herrera (she/her),curveswithmoves,https://www.instagram.com/curveswithmoves/,292,285,7,0,1.3%,--,1.3%,--,--,1,0,1,0,0,0.14,0,285,0,0,0,7,0,0,0,0,0,"22,497",-63,-0.28%
// thehiitman,courtneyfearon_,https://www.instagram.com/courtneyfearon_/,642,601,41,811,2.53%,2.27%,2.8%,--,--,2,1,1,0,0,0.29,269,332,0,0,18,23,0,0,811,0,0,"12,704",55,0.43%
Averages,,,"686,199.45","682,312.92","3,886.53","2,228,218.82",1.61%,1.31%,1.08%,0.25%,0.25%,4.49,1.49,1.53,1.06,0.41,0.64,"194,496.29","152,533.82","298,467.37","36,815.43",874.14,726.86,"1,989.47",296.06,"220,135.37","1,718,949.06","289,134.39","8,348,832.24","23,008.45",0.28%
